SoftwareName;FQNClass;CollectionVariables;AddListenerMethod;RemoveListenerMethod;ClassDeclarationKeyword;MethodsDeclarationKeyword;ClassType;ScanCollectionsMethod;SCMCallsAbsMethod;HasSuperclass;ImplementsInterfaces;ChangeState;AfterChangeStateIterateOverList;Role
JHotDraw60;org.jhotdraw.util.UndoableTool.java;2;2;2;2;1;1;1;1;1;2;2;1;2
JHotDraw60;org.jhotdraw.figures.NullFigure.java;2;2;2;3;1;1;1;1;2;1;2;1;2
JHotDraw60;org.jhotdraw.contrib.dnd.JHDDragSourceListener.java;1;1;1;2;3;1;1;1;1;2;2;1;2
JHotDraw60;org.jhotdraw.contrib.dnd.JHDDropTargetListener.java;1;1;1;2;2;1;1;1;1;2;2;1;2
JHotDraw v5.1;src\CH\ifa\draw\standard\ToolButton.java;1;1;1;3;3;1;1;1;2;1;2;1;2
JHotDraw v5.1;src\CH\ifa\draw\framework\FigureChangeListener.java;1;1;1;2;2;3;1;1;2;1;1;1;2
JHotDraw60;org.jhotdraw.standard.StandardDrawing;2;2;2;3;1;1;2;2;2;2;2;2;2
JHotDraw60;org.jhotdraw.standard.AbstractTool.EventDispatcher.java;2;2;2;1;1;1;2;2;1;1;1;1;2
github.java-design-patterns;com.iluwatar.observer.generic.Gweather.java;2;2;2;2;2;1;2;2;2;1;2;2;2
github.java-design-patterns;com.iluwatar.observer.Weather.java;2;2;2;3;1;1;2;2;1;1;2;2;2
github.java-design-patterns;None;2;2;2;1;1;1;2;2;1;1;1;1;2
journaldev;com.journaldev.design.observer.MyTopic.java;2;2;2;3;1;1;2;2;1;2;2;2;2
mrwebmaster;DownloadPageSubject.java;1;1;1;1;3;1;1;1;2;1;2;1;2
dzone;RedDress.java;2;2;2;1;1;1;2;2;1;2;2;2;2
MapperXML197;com.taursys.swing.MDocument.java;2;2;2;2;1;1;2;2;2;2;2;2;2
JHotDraw v5.1;src\CH\ifa\draw\figures\ElbowHandle.java;1;1;1;3;3;1;1;1;2;1;2;1;2
JUnit37;junit\framework\TestResult.java;2;2;2;3;1;1;2;2;2;1;2;2;2
JHotDraw v5.1;src\CH\ifa\draw\figures\PolyLineFigure.java;2;2;2;3;3;1;2;1;2;1;2;2;2
vogella;com.vogella.java.designpattern.observer.MyModel.java;2;2;1;3;1;1;2;2;1;1;2;1;2
MapperXML197;com.taursys.xml.Form.java;2;2;2;3;1;1;2;2;2;1;2;1;2
JHotDraw60;org.jhotdraw.standard.ToggleGridCommand;2;2;2;3;1;1;2;2;2;1;2;1;2
JHotDraw v5.1;src\CH\ifa\draw\standard\StandardDrawing.java;2;2;2;3;1;1;2;2;2;2;2;2;2
tutorialspoint;Subject.java;2;2;1;1;1;1;2;2;1;1;2;2;2
QuickUML2001;uml.ui.ToolPalette.java;1;1;1;3;2;1;1;1;2;2;2;1;3
JRefactory2624;rg.acm.seguin.refactor.method.AddConstructor.java;1;1;1;3;2;1;1;1;2;1;1;1;3
JRefactory2624;org.acm.seguin.uml.refactor.AddChildClassListener.java;1;1;1;2;3;1;1;1;2;1;1;1;3
JHotDraw v5.1;src\CH\ifa\draw\standard\StandardDrawingView.java;2;2;2;2;2;1;2;2;2;2;2;2;3
JHotDraw v5.1;src\CH\ifa\draw\figures\LineConnection.java;1;1;1;3;2;1;1;1;2;2;2;1;3
JHotDraw60;org.jhotdraw.application.DrawApplication;2;2;2;2;1;1;2;2;2;2;2;2;3
JHotDraw60;org.jhotdraw.util.CommandMenu;1;1;1;2;3;1;1;1;2;2;2;1;3
JHotDraw60;org.jhotdraw.standard.FigureChangeEventMulticaster.java;1;1;1;2;2;2;1;1;2;2;1;1;3
